;epsilon;min_size;score;nb_clusters;var_portion
23;0.08000000000000002;4.0;-0.1747065490923925;14.0;0.6
288;0.17000000000000004;3.0;-0.13259276554494348;14.0;0.7000000000000001
622;0.21000000000000002;3.0;-0.3238378539946807;14.0;0.8500000000000002
727;0.23000000000000004;2.0;-0.39863425748735537;14.0;0.9000000000000002
15;0.07;4.0;-0.18135088666365573;14.0;0.6
796;0.37000000000000005;2.0;-0.17541007626686395;14.0;0.9000000000000002
445;0.27;2.0;-0.19309718170613296;14.0;0.7500000000000001
791;0.36000000000000004;2.0;-0.19620118017310637;14.0;0.9000000000000002
414;0.22000000000000003;3.0;-0.16413715303990548;14.0;0.7500000000000001
144;0.08000000000000002;4.0;-0.1747065490923925;14.0;0.65
2;0.05;4.0;-0.2397506524968478;14.0;0.6
530;0.22000000000000003;3.0;-0.16413715303990548;14.0;0.8000000000000002
136;0.07;4.0;-0.18135088666365573;14.0;0.65
123;0.05;4.0;-0.2397506524968478;14.0;0.65
531;0.22000000000000003;4.0;-0.20509577583036878;14.0;0.8000000000000002
725;0.22000000000000003;2.0;-0.4081822033673987;13.0;0.9000000000000002
8;0.060000000000000005;4.0;-0.2165699138519913;13.0;0.6
501;0.15000000000000002;3.0;-0.34872213462943025;13.0;0.8000000000000002
619;0.2;3.0;-0.33339739035231847;13.0;0.8500000000000002
520;0.2;4.0;-0.2481383022317457;13.0;0.8000000000000002
404;0.2;4.0;-0.2481383022317457;13.0;0.7500000000000001
385;0.15000000000000002;3.0;-0.34872213462943025;13.0;0.7500000000000001
242;0.05;2.0;-0.387104007787559;13.0;0.7000000000000001
31;0.09000000000000001;4.0;-0.14390661562194282;13.0;0.6
315;0.21000000000000002;2.0;-0.15872036858291597;13.0;0.7000000000000001
260;0.12000000000000001;4.0;-0.2808300068954546;13.0;0.7000000000000001
800;0.38000000000000006;2.0;-0.16435287616781807;13.0;0.9000000000000002
129;0.060000000000000005;4.0;-0.2165699138519913;13.0;0.65
282;0.16000000000000003;4.0;-0.14164122742171353;13.0;0.7000000000000001
152;0.09000000000000001;4.0;-0.14390661562194282;13.0;0.65
9;0.060000000000000005;5.0;-0.2313864272261077;12.0;0.6
191;0.15000000000000002;2.0;-0.032693404433868464;12.0;0.65
536;0.23000000000000004;3.0;-0.13813932927924166;12.0;0.8000000000000002
646;0.26000000000000006;3.0;-0.18362184469923454;12.0;0.8500000000000002
606;0.14;2.0;-0.40726649733567516;12.0;0.8500000000000002
70;0.15000000000000002;2.0;-0.032693404433868464;12.0;0.6
699;0.35000000000000003;2.0;-0.007867311914137653;12.0;0.8500000000000002
543;0.24000000000000005;3.0;-0.13715470843861144;12.0;0.8000000000000002
576;0.29000000000000004;2.0;-0.14231231308594985;12.0;0.8000000000000002
323;0.22000000000000003;2.0;-0.20098394116233206;12.0;0.7000000000000001
420;0.23000000000000004;3.0;-0.13813932927924166;12.0;0.7500000000000001
130;0.060000000000000005;5.0;-0.2313864272261077;12.0;0.65
427;0.24000000000000005;3.0;-0.13715470843861144;12.0;0.7500000000000001
460;0.29000000000000004;2.0;-0.14231231308594985;12.0;0.7500000000000001
452;0.28;2.0;-0.13942444129330434;11.0;0.7500000000000001
289;0.17000000000000004;4.0;-0.11558184437869544;11.0;0.7000000000000001
24;0.08000000000000002;5.0;-0.18616339955556066;11.0;0.6
275;0.15000000000000002;4.0;-0.17683915359507377;11.0;0.7000000000000001
616;0.19;3.0;-0.3449616341069963;11.0;0.8500000000000002
395;0.18000000000000005;4.0;-0.3090573448067821;11.0;0.7500000000000001
683;0.31000000000000005;2.0;0.04063658566717802;11.0;0.8500000000000002
552;0.25000000000000006;4.0;-0.1566144108059655;11.0;0.8000000000000002
723;0.21000000000000002;2.0;-0.3946694463089917;11.0;0.9000000000000002
256;0.11000000000000001;4.0;-0.31603282204591693;11.0;0.7000000000000001
804;0.39000000000000007;2.0;-0.11803834321493109;11.0;0.9000000000000002
584;0.30000000000000004;2.0;-0.06434039553969048;11.0;0.8000000000000002
468;0.30000000000000004;2.0;-0.06434039553969048;11.0;0.7500000000000001
568;0.28;2.0;-0.13942444129330434;11.0;0.8000000000000002
436;0.25000000000000006;4.0;-0.1566144108059655;11.0;0.7500000000000001
399;0.19;4.0;-0.2773929277220557;11.0;0.7500000000000001
166;0.11000000000000001;3.0;-0.10355191995093885;11.0;0.65
511;0.18000000000000005;4.0;-0.3090573448067821;11.0;0.8000000000000002
45;0.11000000000000001;3.0;-0.10355191995093885;11.0;0.6
145;0.08000000000000002;5.0;-0.18616339955556066;11.0;0.65
515;0.19;4.0;-0.2773929277220557;11.0;0.8000000000000002
331;0.23000000000000004;2.0;-0.10555649081494223;11.0;0.7000000000000001
270;0.14;5.0;-0.2645734456551693;10.0;0.7000000000000001
16;0.07;5.0;-0.1776422466442825;10.0;0.6
296;0.18000000000000005;3.0;-0.07276754541652362;10.0;0.7000000000000001
508;0.17000000000000004;4.0;-0.32540813178361744;10.0;0.8000000000000002
197;0.16000000000000003;2.0;-0.12373733196979583;10.0;0.65
635;0.24000000000000005;4.0;-0.3133717644264424;10.0;0.8500000000000002
537;0.23000000000000004;4.0;-0.1673841002712182;10.0;0.8000000000000002
421;0.23000000000000004;4.0;-0.1673841002712182;10.0;0.7500000000000001
429;0.24000000000000005;5.0;-0.17704323025684127;10.0;0.7500000000000001
688;0.32000000000000006;2.0;0.05160868315145695;10.0;0.8500000000000002
758;0.31000000000000005;4.0;-0.2749315443715705;10.0;0.9000000000000002
160;0.1;4.0;-0.10869419698235917;10.0;0.65
39;0.1;4.0;-0.10869419698235917;10.0;0.6
697;0.34;2.0;0.023669880815672093;10.0;0.8500000000000002
545;0.24000000000000005;5.0;-0.17704323025684127;10.0;0.8000000000000002
702;0.36000000000000004;2.0;-0.01259021071921687;10.0;0.8500000000000002
