,Player,final_team,Pos,G,MP,PER,TS%,3PAr,TRB%,USG%,OWS,DWS,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
39,Nemanja Bjelica,SAC,PF,0.45265151515151514,0.47250798155374246,0.33036112349531876,0.5517241379310345,0.5697674418604651,0.41025641025641035,0.22290076335877862,0.31354642313546427,0.2795275590551181,0.32,0.4,0.44,0.27,0.28,0.11,0.12,0.35,0.44,0.41,0.24,0.43,0.19,0.28,0.47,0.29
40,Eric Bledsoe,MIL,PG,0.5340909090909091,0.7889322454771195,0.6027641551493536,0.5172413793103448,0.39534883720930236,0.20999115826702036,0.6045801526717557,0.4094368340943684,0.5078740157480315,0.64,0.38,0.47,0.57,0.58,0.44,0.48,0.14,0.27,0.21,0.59,0.76,0.17,0.65,0.23,0.59
41,Bogdan Bogdanovic,SAC,SG,0.20265151515151514,0.698474636395885,0.3673651359786001,0.44827586206896575,0.5465116279069767,0.14854111405835546,0.4473282442748091,0.2838660578386606,0.2677165354330709,0.57,0.52,0.61,0.35,0.41,0.18,0.19,0.08,0.22,0.15,0.39,0.48,0.08,0.35,0.23,0.45
42,Bojan Bogdanovic,UTA,SF,0.6875,0.7215324583185526,0.35265269728042803,0.5862068965517241,0.5232558139534884,0.17816091954022992,0.46068702290076335,0.33942161339421617,0.25984251968503935,0.54,0.5,0.56,0.39,0.43,0.33,0.33,0.08,0.25,0.18,0.13,0.14,0.03,0.37,0.12,0.51
43,Devin Booker,PHO,SG,0.45454545454545453,0.8875487761617594,0.48595630851538113,0.4827586206896554,0.37209302325581395,0.1330680813439434,0.7358778625954199,0.36605783866057845,0.16732283464566927,0.81,0.42,0.51,0.65,0.72,0.59,0.56,0.06,0.19,0.14,0.45,0.29,0.08,0.7,0.33,0.73
44,Avery Bradley,LAL,SG,0.5606060606060606,0.7896417169208938,0.19126170307623722,0.310344827586207,0.4418604651162791,0.11715296198054817,0.367175572519084,0.16362252663622529,0.3110236220472441,0.51,0.38,0.45,0.39,0.47,0.1,0.1,0.12,0.15,0.12,0.19,0.43,0.06,0.33,0.23,0.35
45,Corey Brewer,SAC,SG,0.6723484848484849,0.2940759134444838,0.18635755684351313,0.310344827586207,0.4069767441860465,0.18921308576480994,0.1946564885496183,0.17427701674277019,0.21653543307086615,0.29,0.18,0.31,0.29,0.33,0.18,0.21,0.18,0.2,0.19,0.18,0.76,0.11,0.23,0.44,0.2
46,Mikal Bridges,PHO,SF,0.10037878787878787,0.7197587797091166,0.26125724476148016,0.5862068965517241,0.5581395348837209,0.17771883289124668,0.10610687022900761,0.3181126331811263,0.3582677165354331,0.19,0.28,0.36,0.2,0.21,0.15,0.14,0.16,0.21,0.18,0.18,0.76,0.17,0.14,0.26,0.2
47,Miles Bridges,CHO,SF,0.08143939393939394,0.6023412557644555,0.29959875167186806,0.4137931034482761,0.4534883720930233,0.3205128205128205,0.29160305343511456,0.22907153729071542,0.29724409448818895,0.43,0.32,0.42,0.36,0.4,0.15,0.15,0.27,0.38,0.32,0.13,0.33,0.28,0.21,0.18,0.32
48,Malcolm Brogdon,IND,PG,0.26325757575757575,0.7172756296559063,0.4569772625947392,0.5172413793103448,0.3604651162790698,0.19540229885057472,0.4213740458015267,0.3759512937595129,0.3346456692913386,0.51,0.32,0.37,0.48,0.52,0.25,0.24,0.16,0.25,0.2,0.49,0.38,0.08,0.37,0.18,0.44
49,Dillon Brooks,MEM,SG,0.13446969696969696,0.6818020574671869,0.1903700401248328,0.3448275862068967,0.41860465116279066,0.14323607427055707,0.45496183206106866,0.14840182648401828,0.2618110236220473,0.57,0.38,0.46,0.42,0.52,0.23,0.25,0.14,0.16,0.15,0.15,0.33,0.11,0.33,0.49,0.42
50,Bruce Brown,DET,SG,0.056818181818181816,0.5278467541681446,0.1413285777975925,0.24137931034482762,0.3023255813953489,0.23121131741821396,0.14580152671755728,0.17884322678843229,0.3169291338582677,0.21,0.12,0.19,0.28,0.34,0.14,0.17,0.2,0.28,0.24,0.31,0.43,0.22,0.28,0.46,0.15
51,Jaylen Brown,BOS,SF,0.3352272727272727,0.6324937921248669,0.330806954971021,0.4827586206896554,0.4069767441860465,0.27630415561450045,0.44580152671755724,0.23896499238964997,0.4783464566929134,0.54,0.38,0.45,0.48,0.49,0.26,0.35,0.2,0.35,0.3,0.12,0.43,0.11,0.37,0.33,0.47
52,Sterling Brown,MIL,SF,0.11742424242424243,0.2564739269244413,0.17521176995095852,0.3448275862068967,0.5581395348837209,0.3364279398762158,0.21832061068702294,0.16894977168949774,0.2559055118110236,0.33,0.36,0.46,0.24,0.28,0.09,0.09,0.18,0.45,0.36,0.16,0.38,0.14,0.26,0.32,0.24
53,Troy Brown Jr.,WAS,SG,0.03598484848484849,0.4356154664774743,0.29647793134195277,0.310344827586207,0.3372093023255814,0.3731211317418215,0.2893129770992366,0.22298325722983262,0.1889763779527559,0.43,0.24,0.3,0.41,0.48,0.2,0.21,0.27,0.44,0.39,0.3,0.62,0.06,0.26,0.25,0.31
54,Jalen Brunson,DAL,PG,0.05303030303030303,0.4122029088329195,0.3473027195720018,0.44827586206896575,0.37209302325581395,0.14854111405835546,0.3820610687022901,0.27701674277016747,0.1811023622047244,0.48,0.28,0.36,0.47,0.49,0.19,0.22,0.1,0.22,0.15,0.52,0.29,0.06,0.37,0.23,0.39
55,Thomas Bryant,WAS,C,0.058712121212121215,0.42319971621142244,0.6174765938475257,0.7586206896551726,0.27906976744186046,0.5725022104332449,0.3129770992366412,0.4185692541856926,0.21456692913385828,0.44,0.18,0.23,0.69,0.55,0.26,0.3,0.51,0.63,0.59,0.19,0.19,0.44,0.26,0.32,0.49
56,Reggie Bullock,NYK,SG,0.3465909090909091,0.5792834338417878,0.2420864913062862,0.5172413793103448,0.686046511627907,0.1259946949602122,0.20076335877862594,0.26331811263318117,0.20275590551181102,0.36,0.52,0.58,0.17,0.21,0.1,0.08,0.08,0.16,0.12,0.16,0.29,0.08,0.16,0.11,0.29
